country,imports,exports,income,gdppc,inflation,health,child_mortality,total_fertility_rate,life_expectancy
Afghanistan,44.9,10,1610,553,9.44,7.58,90.2,5.82,56.2
Albania,48.6,28,9930,4090,4.49,6.55,16.6,1.65,76.3
Algeria,31.4,38.4,12900,4460,16.1,4.17,27.3,2.89,76.5
Angola,42.9,62.3,5900,3530,22.4,2.85,119,6.16,60.1
Antigua and Barbuda,58.9,45.5,19100,12200,1.44,6.03,10.3,2.13,76.8
Argentina,16,18.9,18700,10300,20.9,8.1,14.5,2.37,75.8
Armenia,45.3,20.8,6700,3220,7.77,4.4,18.1,1.69,73.3
Australia,20.9,19.8,41400,51900,1.16,8.73,4.8,1.93,82
Austria,47.8,51.3,43200,46900,0.873,11,4.3,1.44,80.5
Azerbaijan,20.7,54.3,16000,5840,13.8,5.88,39.2,1.92,69.1
Bahamas,43.7,35,22900,28000,-0.393,7.89,13.8,1.86,73.8
Bahrain,50.9,69.5,41100,20700,7.44,4.97,8.6,2.16,76
Bangladesh,21.8,16,2440,758,7.14,3.52,49.4,2.33,70.4
Barbados,48.7,39.5,15300,16000,0.321,7.97,14.2,1.78,76.7
Belarus,64.5,51.4,16200,6030,15.1,5.61,5.5,1.49,70.4
Belgium,74.7,76.4,41100,44400,1.88,10.7,4.5,1.86,80
Belize,57.5,58.2,7880,4340,1.14,5.2,18.8,2.71,71.4
Benin,37.2,23.8,1820,758,0.885,4.1,111,5.36,61.8
Bhutan,70.7,42.5,6420,2180,5.99,5.2,42.7,2.38,72.1
Bolivia,34.3,41.2,5410,1980,8.78,4.84,46.6,3.2,71.6
Bosnia and Herzegovina,51.3,29.7,9720,4610,1.4,11.1,6.9,1.31,76.8
Botswana,51.3,43.6,13300,6350,8.92,8.3,52.5,2.88,57.1
Brazil,11.8,10.7,14500,11200,8.41,9.01,19.8,1.8,74.2
Brunei,28,67.4,80600,35300,16.7,2.84,10.5,1.84,77.1
Bulgaria,53,50.2,15300,6840,1.11,6.87,10.8,1.57,73.9
Burkina Faso,29.6,19.2,1430,575,6.81,6.74,116,5.87,57.9
Burundi,39.2,8.92,764,231,12.3,11.6,93.6,6.26,57.7
Cambodia,59.5,54.1,2520,786,3.12,5.68,44.4,2.88,66.1
Cameroon,27,22.2,2660,1310,1.91,5.13,108,5.11,57.3
Canada,31,29.1,40700,47400,2.87,11.3,5.6,1.63,81.3
Cape Verde,61.8,32.7,5830,3310,0.505,4.09,26.5,2.67,72.5
Central African Republic,26.5,11.8,888,446,2.01,3.98,149,5.21,47.5
Chad,43.5,36.8,1930,897,6.39,4.53,150,6.59,56.5
Chile,31.3,37.7,19400,12900,8.96,7.96,8.7,1.88,79.1
China,22.6,26.3,9530,4560,6.94,5.07,15.7,1.59,74.6
Colombia,17.8,15.9,10900,6250,3.86,7.59,18.6,2.01,76.4
Comoros,51.7,16.5,1410,769,3.87,4.51,88.2,4.75,65.9
"Congo, Dem. Rep.",49.6,41.1,609,334,20.8,7.91,116,6.54,57.5
"Congo, Rep.",54.7,85.1,5190,2740,20.7,2.46,63.9,4.95,60.4
Costa Rica,35,33.2,13000,8200,6.57,10.9,10.2,1.92,80.4
Cote d'Ivoire,43.3,50.6,2690,1220,5.39,5.3,111,5.27,56.3
Croatia,38.1,37.6,20100,13500,0.821,7.76,5.5,1.55,76.3
Cyprus,57.5,50.2,33900,30800,2.01,5.97,3.6,1.42,79.9
Czech Republic,62.9,66,28300,19800,-1.43,7.88,3.4,1.51,77.5
Denmark,43.6,50.5,44000,58000,3.22,11.4,4.1,1.87,79.5
Dominican Republic,33.3,22.7,11100,5450,5.44,6.22,34.4,2.6,74.6
Ecuador,32.4,27.9,9350,4660,7.47,8.06,25.1,2.66,76.7
Egypt,26.6,21.3,9860,2600,10.1,4.66,29.1,3.19,70.5
El Salvador,46.6,26.9,7300,2990,2.65,6.91,19.2,2.27,74.1
Equatorial Guinea,58.9,85.8,33700,17100,24.9,4.48,111,5.21,60.9
Eritrea,23.3,4.79,1420,482,11.6,2.66,55.2,4.61,61.7
Estonia,68.7,75.1,22700,14600,1.74,6.03,4.5,1.72,76
Fiji,63.9,57.8,7350,3650,4.23,4.86,24.1,2.67,65.3
Finland,37.4,38.7,39800,46200,0.351,8.95,3,1.87,80
France,28.1,26.8,36900,40600,1.05,11.9,4.2,2.03,81.4
Gabon,18.9,57.7,15400,8750,16.6,3.5,63.7,4.08,62.9
Gambia,42.7,23.8,1660,562,4.3,5.69,80.3,5.71,65.5
